smiles,score_QED,SA_Score,Tox_Prediction,Tox_Probability,Tox_Label,Tox_Color
O=S(=O)(N[C@@H]1C[C@@H]1c1ccccc1F)c1ccc(F)cc1F,0.938392689043521,2.8986017149196552,0,0.04,NON-TOXIQUE,green
O=S(=O)(N[C@@H]1C[C@@H]1c1ccccc1F)c1ccc(F)cc1F,0.938392689043521,2.8986017149196552,0,0.04,NON-TOXIQUE,green
O=C(NCC1CCCCC1)c1ccc(-n2cncn2)cc1,0.9383867305973556,1.9946483350723696,0,0.01,NON-TOXIQUE,green
Cl/C=C\CNc1cc(Br)c2nccn2c1,0.9382200302508976,3.29857462148728,1,0.79, TOXIQUE,red
COc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(F)cc1,0.9380754047747576,1.6768225879559857,1,1.0, TOXIQUE,red
COc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(F)cc1,0.9380754047747576,1.6768225879559857,1,1.0, TOXIQUE,red
COc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(F)cc1,0.9380754047747576,1.6768225879559857,1,1.0, TOXIQUE,red
O=S(=O)(c1ccc(O)cc1)c1nnc(C2CCCCC2)s1,0.937965227328442,2.460276697355246,0,0.02,NON-TOXIQUE,green
Brc1ccc(CN2CCC(c3ncc[nH]3)CC2)cc1,0.9377518346653012,2.187147844623418,0,0.01,NON-TOXIQUE,green
Brc1ccc([C@H]2CCCN(Cc3ncc[nH]3)C2)cc1,0.9377518346653012,2.6855421243339848,0,0.0,NON-TOXIQUE,green
Brc1ccc([C@H]2CCCN(Cc3ncc[nH]3)C2)cc1,0.9377518346653012,2.6855421243339848,0,0.0,NON-TOXIQUE,green
N#Cc1ccc(Nc2ccc(OC3CCOCC3)cc2)nc1,0.9374124037664912,2.2447344814471126,1,0.76, TOXIQUE,red
COc1ccccc1NC(=O)C[C@H]1CC(=O)c2cc(C)ccc21,0.9365596285974036,2.5344691160825423,1,0.92, TOXIQUE,red
CCCc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,0.9364868762291336,1.74598729949445,1,0.99, TOXIQUE,red
O=C(CN1CCCOc2ccccc21)NCc1ccco1,0.9357537042993976,2.111480841275842,1,0.96, TOXIQUE,red
O=C(CN1CCCOc2ccccc21)NCc1ccco1,0.9357537042993976,2.111480841275842,1,0.96, TOXIQUE,red
O=C(CN1CCCOc2ccccc21)NCc1ccco1,0.9357537042993976,2.111480841275842,1,0.96, TOXIQUE,red
COc1ccc(Cc2noc(C3(N)CCCCC3)n2)cc1,0.9355648231476952,2.4055480340513373,0,0.01,NON-TOXIQUE,green
COc1ccc(F)c(C(=O)NC2(c3noc(C)n3)CCC2)c1F,0.9351052179730964,2.68100350923757,0,0.03,NON-TOXIQUE,green
COc1ccc(F)c(C(=O)NC2(c3noc(C)n3)CCC2)c1F,0.9351052179730964,2.68100350923757,0,0.03,NON-TOXIQUE,green
COc1ccc(F)c(C(=O)NC2(c3noc(C)n3)CCC2)c1F,0.9351052179730964,2.68100350923757,0,0.03,NON-TOXIQUE,green
CC(=O)N1C=Cc2ccccc2[C@@H]1CC(=O)Nc1ccccc1F,0.9350809922770578,2.673169359072272,1,0.98, TOXIQUE,red
CC(=O)N1C=Cc2ccccc2[C@@H]1CC(=O)Nc1ccccc1F,0.9350809922770578,2.673169359072272,1,0.98, TOXIQUE,red
O=C(Nc1ccc2c(c1)CCC2)[C@@H]1CCCN1C(=O)c1ccccc1,0.934891144369483,2.3123591543035875,1,1.0, TOXIQUE,red
O=C(Nc1ccc2c(c1)CCC2)[C@@H]1CCCN1C(=O)c1ccccc1,0.934891144369483,2.3123591543035875,1,1.0, TOXIQUE,red
O=C(Nc1ccc2c(c1)CCC2)[C@@H]1CCCN1C(=O)c1ccccc1,0.934891144369483,2.3123591543035875,1,1.0, TOXIQUE,red
CS(=O)(=O)c1cccc(C(=O)Nc2nc3c(s2)CCCC3)c1,0.9347659091973984,2.1145290643827863,0,0.01,NON-TOXIQUE,green
CS(=O)(=O)c1cccc(C(=O)Nc2nc3c(s2)CCCC3)c1,0.9347659091973984,2.1145290643827863,0,0.01,NON-TOXIQUE,green
CS(=O)(=O)c1cccc(C(=O)Nc2nc3c(s2)CCCC3)c1,0.9347659091973984,2.1145290643827863,0,0.01,NON-TOXIQUE,green
CNC(=O)CCn1c(C)nc2cc(C(=O)N3CCCCC3)ccc21,0.9345196447699496,2.1275058809130947,0,0.0,NON-TOXIQUE,green
CNC(=O)CCn1c(C)nc2cc(C(=O)N3CCCCC3)ccc21,0.9345196447699496,2.1275058809130947,0,0.0,NON-TOXIQUE,green
CNC(=O)CCn1c(C)nc2cc(C(=O)N3CCCCC3)ccc21,0.9345196447699496,2.1275058809130947,0,0.0,NON-TOXIQUE,green
COc1ccc(Br)cc1C(=O)NCc1cccc(C)n1,0.9341642060711224,1.881518267918908,0,0.06,NON-TOXIQUE,green
CO[C@@]1(C)C[C@@H](NC(=O)c2cnc3c(C)cccn3c2=O)C1(C)C,0.9338382730104124,3.636583417033811,0,0.06,NON-TOXIQUE,green
C[C@@H](c1nc(-c2cccs2)no1)[C@H]1CCC[C@@H](O)C1,0.9338007931388392,3.678672428020577,0,0.03,NON-TOXIQUE,green
Cc1ccc(C(=O)N[C@@H]2CCCC[C@H]2C)cc1S(C)(=O)=O,0.9334698714287144,2.687679527776803,0,0.01,NON-TOXIQUE,green
Cc1ccc(C(=O)N[C@@H]2CCCC[C@H]2C)cc1S(C)(=O)=O,0.9334698714287144,2.687679527776803,0,0.01,NON-TOXIQUE,green
Cc1ccc(C(=O)N[C@@H]2CCCC[C@H]2C)cc1S(C)(=O)=O,0.9334698714287144,2.687679527776803,0,0.01,NON-TOXIQUE,green
CCN1C(=O)[C@@H](CC(=O)Nc2ccc(F)c(F)c2)c2ccccc21,0.933408648810494,2.620314979386988,1,1.0, TOXIQUE,red
CCN1C(=O)[C@@H](CC(=O)Nc2ccc(F)c(F)c2)c2ccccc21,0.933408648810494,2.620314979386988,1,1.0, TOXIQUE,red
CC(=O)Nc1nc(C2CCN(C(=O)C3CCC3)CC2)cs1,0.933404109247608,2.2913161106538134,0,0.02,NON-TOXIQUE,green
CC(=O)Nc1nc(C2CCN(C(=O)C3CCC3)CC2)cs1,0.933404109247608,2.2913161106538134,0,0.02,NON-TOXIQUE,green
CC(=O)Nc1nc(C2CCN(C(=O)C3CCC3)CC2)cs1,0.933404109247608,2.2913161106538134,0,0.02,NON-TOXIQUE,green
COc1ccc(Br)cc1NCc1cccc(C)n1,0.93332466218049,1.933395516489652,1,0.86, TOXIQUE,red
CS(=O)(=O)[C@H]1CC[C@@H](NC(=O)c2occc2-c2ccccc2)C1,0.9330120376965552,3.096340326846028,0,0.05,NON-TOXIQUE,green
O=S(=O)(/C=C\c1ccccc1Cl)Nc1ccccc1,0.9328939980055152,1.9583309948065697,1,0.82, TOXIQUE,red
CO[C@@H]1C[C@H](Nc2ccc3c(c2)CCN3C(C)=O)C12CCC2,0.9328741504962924,3.788340969380487,1,0.93, TOXIQUE,red
Cc1ccc(NC(=O)[C@@H](C)c2ccccc2)cc1N1CCOC1=O,0.932808159311032,2.544463250474987,1,1.0, TOXIQUE,red
Cc1ccc(NC(=O)[C@H](C)c2ccccc2)cc1N1CCOC1=O,0.932808159311032,2.544463250474987,1,1.0, TOXIQUE,red
Cc1ccc(NC(=O)[C@@H](C)c2ccccc2)cc1N1CCOC1=O,0.932808159311032,2.544463250474987,1,1.0, TOXIQUE,red
Cc1nn(C)c(Cn2cc([C@@H](O)C3CC3)cn2)c1Cl,0.9327290771614236,3.1795082274616284,0,0.0,NON-TOXIQUE,green
CC(=O)NC[C@H]1CCCC12CCN(C(=O)c1ccccc1)CC2,0.9324396089329098,3.245228432295068,0,0.05,NON-TOXIQUE,green
O=C(O)c1cnc(C(F)(F)F)n1Cc1ccccc1,0.9323692648052432,2.283186517489016,0,0.06,NON-TOXIQUE,green
CN(C(=O)N[C@@H]1C[C@H]1c1ccccc1Cl)C1CCOCC1,0.932345357486442,3.159765357736317,0,0.0,NON-TOXIQUE,green
CN(C(=O)N[C@@H]1C[C@H]1c1ccccc1Cl)C1CCOCC1,0.932345357486442,3.159765357736317,0,0.0,NON-TOXIQUE,green
CN(C(=O)N[C@@H]1C[C@H]1c1ccccc1Cl)C1CCOCC1,0.932345357486442,3.159765357736317,0,0.0,NON-TOXIQUE,green
COc1ccc(-c2noc([C@@H]3CCCN3C(=O)NC(C)C)n2)cc1,0.9318565785409688,2.60493021880078,0,0.05,NON-TOXIQUE,green
CC(=O)Nc1cc(C)cc(-c2nc(C)nc(C)c2S(C)(=O)=O)c1,0.9316039308677356,2.512273946996533,1,0.85, TOXIQUE,red
Cc1ccc(-c2noc([C@@H]3CCCN3C(=O)NCC(C)C)n2)cc1,0.9314884957897928,2.6413944721944453,0,0.03,NON-TOXIQUE,green
Cc1noc(-c2cccnc2N[C@@H]2CC[C@H](C3CC3)C2)n1,0.9314740978109176,3.228756278291172,0,0.03,NON-TOXIQUE,green
Cc1noc(-c2cccnc2N[C@@H]2CC[C@H](C3CC3)C2)n1,0.9314740978109176,3.228756278291172,0,0.03,NON-TOXIQUE,green
Cc1noc(-c2cccnc2N[C@H]2CC[C@H](C3CC3)C2)n1,0.9314740978109176,3.228756278291172,0,0.03,NON-TOXIQUE,green
CC(C)N1CCN(CC(=O)Nc2nc3ccc(F)cc3s2)CC1,0.9313778334377866,2.074236814393952,0,0.0,NON-TOXIQUE,green
CC(C)N1CCN(CC(=O)Nc2nc3ccc(F)cc3s2)CC1,0.9313778334377866,2.074236814393952,0,0.0,NON-TOXIQUE,green
CC(C)N1CCN(CC(=O)Nc2nc3ccc(F)cc3s2)CC1,0.9313778334377866,2.074236814393952,0,0.0,NON-TOXIQUE,green
COc1ccc(C(=O)N(C)Cc2ccc(C)o2)c(O)c1,0.9311315099888688,2.0706743967900394,0,0.09,NON-TOXIQUE,green
C[C@@H]1CC[C@H](Nc2cccc(Cn3cccn3)c2)CS1,0.9310558954445066,3.289314195016315,1,0.98, TOXIQUE,red
C[C@@H]1CC[C@H](Nc2cccc(Cn3cccn3)c2)CS1,0.9310558954445066,3.289314195016315,1,0.98, TOXIQUE,red
Cc1cnc(CN2CCN(c3cccc(F)c3C(=O)O)CC2)o1,0.9309567863359822,2.391541666464958,1,0.92, TOXIQUE,red
Cc1cnc(CN2CCN(c3cccc(F)c3C(=O)O)CC2)o1,0.9309567863359822,2.391541666464958,1,0.92, TOXIQUE,red
Cc1cnc(CN2CCN(c3cccc(F)c3C(=O)O)CC2)o1,0.9309567863359822,2.391541666464958,1,0.92, TOXIQUE,red
CN(C(=O)[C@@H]1SCCc2ccccc21)[C@@H](C(N)=O)c1ccccc1,0.9306423274223072,3.265009066181044,0,0.01,NON-TOXIQUE,green
CN(C(=O)[C@@H]1SCCc2ccccc21)[C@@H](C(N)=O)c1ccccc1,0.9306423274223072,3.265009066181044,0,0.01,NON-TOXIQUE,green
CN(C(=O)[C@@H]1SCCc2ccccc21)[C@H](C(N)=O)c1ccccc1,0.9306423274223072,3.265009066181044,0,0.01,NON-TOXIQUE,green
Cc1ccc([C@H](C)[C@H]2C(=O)NCCN2C(=O)C2CCC2)cc1,0.9303437957743786,3.1047482470760244,0,0.05,NON-TOXIQUE,green
CN[C@@H]1CCc2cccc(Oc3ccccc3OC)c2C1,0.930291245584538,2.522269516067796,0,0.04,NON-TOXIQUE,green
C[C@@H]1C[C@]1(C(=O)Nc1ccc(C#N)c(C#N)n1)c1cccc(Cl)c1,0.92971046849584,3.5983062895459144,0,0.08,NON-TOXIQUE,green
C[C@]1(c2cccc(Cl)c2)C[C@H]1C(=O)Nc1ccc(C#N)c(C#N)n1,0.9297104684958398,3.484836056793592,0,0.07,NON-TOXIQUE,green
COc1cccc2c1C[C@@H](C(=O)Nc1ccc(F)c(F)c1)N2C(C)=O,0.92969137820282,2.6764967820123893,1,0.98, TOXIQUE,red
COc1cccc2c1N(C(C)=O)[C@H](C(=O)Nc1ccc(F)c(F)c1)C2,0.92969137820282,2.7339803940525247,1,0.97, TOXIQUE,red
CCc1cc(C)ccc1C(=O)NCc1nc(C)cs1,0.9295568951136752,2.0872416866304686,0,0.03,NON-TOXIQUE,green
CCc1cc(C)ccc1C(=O)NCc1nc(C)cs1,0.9295568951136752,2.0872416866304686,0,0.03,NON-TOXIQUE,green
CC(C)CN1C(=O)C2(CCC2)[C@@H](C(=O)O)[C@@H]1c1ccccc1,0.9293956568599966,3.71513278079488,0,0.04,NON-TOXIQUE,green
C[C@@H]1CN(C(=O)Nc2cccc(Oc3ccc(C#N)cn3)c2)CCO1,0.9293341904601672,2.756823537865232,1,0.99, TOXIQUE,red
COc1ccc2c(c1)C[C@@H](C(=O)Nc1c(F)cc(C#N)cc1F)CO2,0.9289814215574844,2.815501559843254,1,0.97, TOXIQUE,red
COc1ccc2c(c1)C[C@@H](C(=O)Nc1c(F)cc(C#N)cc1F)CO2,0.9289814215574844,2.815501559843254,1,0.97, TOXIQUE,red
COc1ccc2c(c1)C[C@H](C(=O)Nc1c(F)cc(C#N)cc1F)CO2,0.9289814215574844,2.815501559843254,1,0.97, TOXIQUE,red
C[C@H](C(=O)NC1CCCC1)N1CCc2cc3c(cc2C1)OCO3,0.9288678015747448,2.741179698083778,0,0.08,NON-TOXIQUE,green
Cc1ccc(C(=O)Nc2ccc([S@](=O)N(C)C)cc2)cc1Cl,0.928781940941262,2.756010274259962,1,0.96, TOXIQUE,red
COC[C@@H]1CCCCN1C(=O)Nc1ccc2c(c1)OC(C)(C)O2,0.928705299996306,2.8539574001062107,1,0.99, TOXIQUE,red
COC[C@@H]1CCCCN1C(=O)Nc1ccc2c(c1)OC(C)(C)O2,0.928705299996306,2.8539574001062107,1,0.99, TOXIQUE,red
